7200414,Hohenfriedbergstraße,7,263433.439
7200410,Feurigstraße,7,250440.158
9301126,Grünau,9,9172773.623
4501152,Prager Platz,4,349862.501
9401329,Kietzer Feld/Nachtheide,9,17024906.11
1100312,Heine-Viertel West,1,643611.114
1200522,Elberfelder Straße,1,639455.329
3200207,Herthaplatz,3,3080810.743
5200629,Borkumer Straße,5,1325562.762
7601237,Kirchstraße,7,1235685.18
3601139,Norweger Viertel,3,454220.488
11100309,Mühlengrund,11,706043.781
8100416,Alt-Rixdorf,8,334331.154
11200410,Malchower Weg,11,2232954.788
3300517,Märchenland,3,5824513.255
3100101,Bucher Forst,3,18377139.16
7200308,Volkspark (Rudolph-Wilde-Park),7,626736.619
8200833,Buckow Ost,8,1106975.388
7400823,Wittekindstraße,7,805339.77
7501134,Hundsteinweg,7,2253576.277
9401433,Allende II,9,1991483.596
10400837,Kaulsdorf Süd,10,4869630.053
5100101,Hakenfelde Nord,5,16168772.69
8401139,Vogelviertel Süd,8,826760.904
3400829,Arnold-Zweig-Straße,3,400602.607
4200310,Fürstenplatz,4,931601.723
11400929,Weitlingkiez,11,842257.177
10200629,Teterower Ring,10,999271.16
12100204,Schäfersee,12,1115696.482
5100211,An der Kappe,5,1402781.386
6200314,Kaiser-Wilhelm-Straße,6,733778.237
4200203,Olympiagelände,4,3264399.304
9401534,Altstadt Köpenick,9,796813.695
7200409,Belziger Straße,7,530585.274
5400943,Jägerallee,5,7331950.637
4200206,Kranzallee,4,1485544.478
10100209,Lea-Grundig-Straße,10,678233.409
4300518,Kaiserin-Augusta-Allee,4,1376628.447
11200411,Hauptstraße,11,2521336.77
1300732,Soldiner Straße,1,588074.499
7501030,Machonstraße,7,597111.725
4400830,Forckenbeckstraße,4,1494597.349
1200521,Zwinglistraße,1,166605.497
10200422,Hellersdorfer Promenade,10,451809.839
10400938,Mahlsdorf Nord,10,4221795.938
8100209,Glasower Straße,8,589231.716
3300412,Karow Bahnhof,3,3078323.869
3501038,Hansastraße,3,1964376.981
1100207,Leipziger Straße,1,763637.109
8100415,Ganghoferstraße,8,255372.799
3200308,Nisbléstraße,3,1134312.492
1401049,Schulstraße,1,404127.565
4400727,Flinsberger Platz,4,914954.621
10100315,Bärenstein,10,646662.812
1100104,Körnerstraße,1,338448.206
4200308,Branitzer Platz,4,2755118.531
12400723,Hermsdorf Ost/Waldsee,12,2900145.924
6100210,Bismarckstraße,6,235553.321
6400838,Krumme Lanke,6,6419213.143
7601442,Kettinger Straße,7,2348208.895
3601348,Senefelderstraße,3,219922.187
8100104,Wartheplatz,8,551184.763
3601450,Volkspark Prenzlauer Berg,3,1212024.847
8401242,Zittauer Straße,8,1922467.513
9100407,Johannisthal West,9,3247194.597
10100101,Marzahn West,10,695705.423
3300411,Karow Nord,3,1667533.255
1401045,Schwedenstraße,1,267815.116
7400720,Gontermannstraße,7,1184451.286
5200631,Wilhelmstadt Ost,5,542130.664
4100102,Paul-Hertz-Siedlung,4,537861.96
12500926,Wittenau Süd,12,947518.401
10200417,Zossener Straße,10,450569.895
3400722,Parkstraße,3,509691.612
11300721,Herzbergstraße,11,3863010.076
11200514,Landsberger Allee,11,940051.993
1400942,Westliche Müllerstraße,1,531507.23
5200525,Pillnitzer Weg,5,1475113.049
8401140,Vogelviertel Nord,8,440889.762
9501941,Friedrichshagener Straße,9,1045838.719
7601546,Franziusweg,7,1774343.845
2300316,Köpenicker Straße,2,471422.054
10300734,Biesdorf Süd,10,5205206.423
7100206,Großgörschenstraße,7,534755.476
1200518,Beusselkiez,1,236849.437
12200414,TXL,12,5987642.938
4400831,Messelpark,4,544703.358
6300526,Zehlendorf Mitte,6,905343.286
9200819,Köllnische Vorstadt,9,1551715.709
4501150,Wilhelmsaue,4,294733.282
6100206,Stadtpark,6,710869.319
8100311,Reuterplatz,8,259579.578
10100210,Marzahner Promenade,10,882937.952
9501736,Hirschgarten,9,2873068.172
10100312,Springpfuhl,10,1210405.984
12100205,Teichstraße,12,3374860.211
1100102,Großer Tiergarten,1,3943375.966
2200210,Urbanstraße,2,916800.234
3701556,Kollwitzplatz,3,507067.779
5300736,Zitadellenweg,5,2618966.462
6200419,Thermometersiedlung,6,321216.339
2400625,Wriezener Bahnhof,2,864393.136
6300630,Hindenburgdamm,6,744828.036
11300617,Fennpfuhlpark,11,474765.281
7501029,Ringstraße,7,1441973.878
9100101,Alt-Treptow,9,2314160.878
4300623,Karl-August-Platz,4,582728.606
5300737,Gartenfelder Straße,5,1041737.87
6300524,Berlepschstraße,6,1745589.171
1200623,Stephankiez,1,896475.72
5200632,Tiefwerder,5,1564990.535
4400835,Rüdesheimer Platz,4,600207.947
10200627,Am Kienberg,10,533187.712
2300418,Reichenberger Straße Ost,2,599764.15
2500728,Samariterviertel,2,310608.043
1200627,Zillesiedlung,1,174352.764
5400945,Kafkastraße,5,1737233.19
8200729,Britzer Garten,8,3152323.401
2200207,Gleisdreieck,2,746225.338
12200413,Tegel Süd,12,755164.495
4500937,Halensee,4,709434.206
3400830,Kissingenviertel,3,659319.939
3500936,Komponistenviertel Weißensee,3,1119815.235
10200420,Gut Hellersdorf,10,768070.915
1200517,Huttenkiez,1,2484954.109
4300619,Alt-Lietzow,4,536728.534
6100205,Südende,6,850866.971
4300624,Savignyplatz,4,534638.01
10200419,Havelländer Ring,10,203550.57
4200207,Eichkamp,4,17440826.47
2200211,Chamissokiez,2,977101.699
3601141,Arnimplatz,3,286789.929
11401137,Erieseering,11,718030.243
10100311,Marzahner Chaussee,10,3993423.949
9100306,Späthsfelde,9,2722772.522
3400724,Wolfshagener Straße,3,770100.486
1200628,Lüneburger Straße,1,745610.394
8401241,Blumenviertel,8,2120024.309
4400726,Bismarckallee,4,1428438.058
12400618,Heiligensee Nord,12,3247148.021
11300618,Storkower Bogen,11,321189.597
6100102,Schloßstraße,6,488811.665
3701660,Bötzowstraße,3,570547.019
1400941,Londoner Straße,1,450348.205
8100313,Bouchéstraße,8,140057.883
1100416,Arkonaplatz,1,602000.541
1100313,Heine-Viertel Ost,1,718064.233
12400721,Frohnau Ost,12,5090010.815
1200519,Emdener Straße,1,347156.033
3400721,Florakiez,3,794219.102
2200209,Viktoriapark,2,693579.377
5400944,Kladower Damm,5,4312179.525
2500830,Niederbarnimstraße,2,165471.669
7501031,Eisenacher Straße,7,1542267.734
8301037,Gropiusstadt Süd-Ost,8,437939.506
12601031,Lübarser Straße,12,1134119.154
4400728,Hagenplatz,4,943658.249
7200307,Bayerischer Platz,7,523935.318
9501737,Alt-Friedrichshagen,9,11170398.98
10200524,Adele-Sandrock-Straße,10,1111320.474
3500932,Bühringstraße,3,992545.879
7200413,Cheruskerstraße,7,797218.918
2400520,Barnimkiez,2,941559.045
2500836,Stralauer Halbinsel,2,1116993.913
12500928,Waidmannslust,12,1731905.042
